Hostname,Event_Type,Target_Group,Account_ID,Timestamp
WEB-17.BARNETT.COM,A member was added to a security-enabled local group,Marketing_Share,OLD_DOMAIN.LEGACY.COM\qhoward,2026-08-28 22:06:23
LT-19.HULL-ANDERSON.COM,User account locked out,Marketing_Share,DEV\clayton91,2026-08-15 22:59:50
EMAIL-71.GREENE.INFO,Logon failure,Marketing_Share,OLD_DOMAIN.LEGACY.COM\TEMP_fitzpatricklaurie,2026-08-03 23:20:09
SRV-39.MORRIS-SEXTON.COM,User account locked out,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\karenharris,2026-08-11 01:28:04
LT-21.JIMENEZ.COM,User account locked out,Marketing_Share,GUEST\ltownsend,2026-08-16 19:14:42
LAPTOP-98.JOHNSON.BIZ,Logon failure,Domain Admins,CORP\SVC_cnewman,2026-08-26 04:55:25
SRV-05.EDWARDS-COLLINS.INFO,Logon failure,IT_Helpdesk,CORP\smithjason,2026-08-31 09:38:11
WEB-58.BAUTISTA.COM,A member was added to a security-enabled local group,Remote Desktop Users,CORP\SVC_petersencindy,2026-08-22 01:59:51
DB-57.BARNES.COM,A member was removed from a security-enabled local group,IT_Helpdesk,GUEST\gillsean,2026-08-03 20:56:44
LT-41.INGRAM.ORG,A member was added to a security-enabled local group,Remote Desktop Users,GUEST\juliewilliams,2026-08-01 18:15:56
WEB-98.STOUT-MCNEIL.INFO,A member was added to a security-enabled global group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\qdelacruz,2026-08-30 22:18:13
WEB-14.HILL.NET,A member was added to a security-enabled global group,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\spencerrobert,2026-08-03 13:19:21
EMAIL-77.BARRON-AYERS.COM,Logon failure,Domain Admins,DEV\gerald51,2026-08-26 02:28:23
DESKTOP-65.FLORES-GREEN.COM,User account locked out,Domain Admins,OLD_DOMAIN.LEGACY.COM\qbarrett,2026-08-26 00:37:35
DESKTOP-30.CRAWFORD-PETERSON.BIZ,A member was removed from a security-enabled local group,Remote Desktop Users,CORP\colleen07,2026-08-22 21:20:30
LAPTOP-92.ZUNIGA.COM,A member was added to a security-enabled local group,Remote Desktop Users,CORP\ggibbs,2026-08-06 10:52:26
WEB-54.LOPEZ-JONES.BIZ,A member was removed from a security-enabled local group,IT_Helpdesk,GUEST\SVC_ihall,2026-08-17 21:28:51
WEB-07.SANDERS.INFO,A member was removed from a security-enabled local group,Domain Admins,OLD_DOMAIN.LEGACY.COM\SVC_hendricksjulie,2026-08-10 01:54:51
LAPTOP-79.FRANCO.ORG,User account locked out,Domain Admins,CORP\victoria01,2026-08-22 09:24:53
EMAIL-76.JIMENEZ-WILLIAMS.INFO,A member was added to a security-enabled local group,IT_Helpdesk,CORP\trivera,2026-08-09 07:22:12
WEB-28.WELCH.ORG,A member was removed from a security-enabled local group,All_Staff_Read_Only,CORP\russellcarolyn,2026-08-31 03:41:12
DB-31.BROWN.ORG,A member was added to a security-enabled local group,IT_Helpdesk,DEV\morgan30,2026-08-01 07:16:53
EMAIL-73.BLAIR-MOODY.BIZ,A member was added to a security-enabled global group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\morrisjoseph,2026-08-20 14:30:00
DB-94.HESS.NET,User account locked out,Marketing_Share,CORP\johnhodges,2026-08-11 22:46:29
LAPTOP-61.GARZA.ORG,Logon failure,Remote Desktop Users,GUEST\TEMP_kristenhernandez,2026-08-15 01:27:09
WEB-68.SMITH-HOFFMAN.NET,Logon failure,IT_Helpdesk,DEV\SVC_pughryan,2026-08-21 05:59:12
EMAIL-51.TURNER.COM,User account locked out,Marketing_Share,GUEST\westmichael,2026-08-31 07:09:22
DESKTOP-77.WILLIAMS.INFO,User account locked out,IT_Helpdesk,GUEST\plewis,2026-08-03 15:23:48
LT-06.PROCTOR.NET,Logon failure,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\briannawilliamson,2026-08-31 01:50:31
DESKTOP-97.POOLE.BIZ,Logon failure,IT_Helpdesk,DEV\jroberts,2026-08-22 02:36:15
LAPTOP-07.AVERY.COM,A member was removed from a security-enabled local group,Domain Admins,OLD_DOMAIN.LEGACY.COM\josephrobles,2026-08-15 13:00:23
DESKTOP-15.NELSON.COM,A member was removed from a security-enabled local group,Administrators,OLD_DOMAIN.LEGACY.COM\irwindavid,2026-08-06 13:50:50
EMAIL-08.AGUIRRE.COM,A member was added to a security-enabled local group,All_Staff_Read_Only,CORP\taterachel,2026-08-12 05:12:40
EMAIL-25.SANDOVAL-JOHNSON.COM,A member was added to a security-enabled local group,Marketing_Share,OLD_DOMAIN.LEGACY.COM\nathandaniels,2026-08-04 02:52:17
LAPTOP-00.BOWMAN.COM,Logon failure,IT_Helpdesk,GUEST\vmclaughlin,2026-08-18 23:15:30
LAPTOP-23.ALLEN.COM,User account locked out,Domain Admins,GUEST\shawn50,2026-08-10 18:57:53
DESKTOP-61.RANDOLPH-JONES.BIZ,A member was added to a security-enabled global group,Remote Desktop Users,CORP\ronald84,2026-08-21 19:46:48
DB-40.CHAVEZ.COM,A member was added to a security-enabled global group,Administrators,OLD_DOMAIN.LEGACY.COM\adam86,2026-08-20 01:26:56
DESKTOP-93.JOHNSON-MCPHERSON.COM,A member was added to a security-enabled global group,Remote Desktop Users,CORP\kmiles,2026-08-05 05:01:30
WEB-79.COLLINS.COM,User account locked out,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\SVC_yhernandez,2026-08-13 14:11:36
DESKTOP-46.JAMES-LEON.COM,A member was removed from a security-enabled local group,All_Staff_Read_Only,DEV\stoneruth,2026-08-11 11:21:39
LT-09.CHANEY-HAWKINS.COM,A member was added to a security-enabled global group,Administrators,OLD_DOMAIN.LEGACY.COM\warnerebony,2026-08-02 16:47:31
DB-56.JOHNSON.BIZ,A member was added to a security-enabled local group,Remote Desktop Users,DEV\allison95,2026-08-10 01:56:01
LT-29.BRENNAN-CARLSON.ORG,A member was added to a security-enabled global group,Domain Admins,DEV\andrewsrobert,2026-08-16 02:27:49
EMAIL-05.HAMMOND.COM,A member was removed from a security-enabled local group,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\eric30,2026-08-16 01:34:01
DESKTOP-45.SALAZAR.COM,A member was added to a security-enabled local group,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\SVC_jeffrey08,2026-08-08 21:15:29
SRV-53.SMITH.COM,User account locked out,Marketing_Share,CORP\vaughncolleen,2026-08-01 21:26:57
WEB-22.TUCKER-HERNANDEZ.INFO,A member was added to a security-enabled global group,Administrators,DEV\shayes,2026-08-22 10:56:27
LT-47.JONES-WILLIAMS.COM,User account locked out,IT_Helpdesk,CORP\richard98,2026-08-08 23:24:24
WEB-93.BELTRAN.ORG,A member was added to a security-enabled local group,Marketing_Share,CORP\tylerdrake,2026-08-12 16:56:43
DB-12.ORTIZ-WAGNER.COM,Logon failure,Domain Admins,DEV\lambertmisty,2026-08-11 06:53:53
DB-55.EVANS-HENDRICKS.BIZ,A member was added to a security-enabled local group,All_Staff_Read_Only,GUEST\SVC_tanner50,2026-08-23 06:51:24
WEB-41.EDWARDS-JOHNSON.COM,User account locked out,Marketing_Share,GUEST\maria23,2026-08-19 04:57:06
EMAIL-85.KNIGHT.BIZ,Logon failure,All_Staff_Read_Only,CORP\hpowell,2026-08-23 02:25:13
EMAIL-13.TORRES.COM,User account locked out,IT_Helpdesk,CORP\deannalopez,2026-08-02 06:18:18
LT-94.WILKINSON-REYNOLDS.COM,Logon failure,Marketing_Share,CORP\amy82,2026-08-25 19:52:05
LT-24.CHANG.COM,User account locked out,Marketing_Share,CORP\andersonandrea,2026-08-07 12:04:30
EMAIL-50.WIGGINS-WRIGHT.ORG,Logon failure,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\charlesstewart,2026-08-09 07:41:52
WEB-10.BUCHANAN-JOHNSON.COM,User account locked out,Administrators,CORP\william92,2026-08-24 01:06:46
DESKTOP-72.VANG-DEAN.COM,Logon failure,IT_Helpdesk,CORP\natasha22,2026-08-20 08:36:34
LAPTOP-65.FIGUEROA-MORRIS.BIZ,A member was added to a security-enabled global group,Domain Admins,DEV\SVC_bethmorrow,2026-08-10 23:17:04
WEB-72.LOPEZ-RIDDLE.COM,A member was added to a security-enabled global group,Marketing_Share,CORP\tprince,2026-08-03 01:06:47
WEB-95.TORRES.COM,Logon failure,Domain Admins,OLD_DOMAIN.LEGACY.COM\pmartinez,2026-08-05 22:04:18
LT-03.CARTER.BIZ,User account locked out,All_Staff_Read_Only,DEV\brianwalker,2026-08-24 17:18:11
DB-32.TORRES.COM,User account locked out,Domain Admins,GUEST\christopher15,2026-08-29 07:18:14
LT-29.BRENNAN-CARLSON.ORG,A member was added to a security-enabled global group,Domain Admins,DEV\andrewsrobert,2026-08-16 02:27:49
LT-60.PEREZ-COOK.COM,User account locked out,Domain Admins,GUEST\ramirezmichael,2026-08-14 04:17:54
LT-66.COCHRAN.COM,A member was added to a security-enabled global group,IT_Helpdesk,DEV\andrewslauren,2026-08-31 04:24:55
WEB-49.COLLINS.COM,User account locked out,Remote Desktop Users,DEV\michaelvaughn,2026-08-25 04:48:04
EMAIL-37.GREEN.BIZ,A member was added to a security-enabled local group,Remote Desktop Users,CORP\krista55,2026-08-21 07:16:58
LT-05.SMITH.INFO,User account locked out,IT_Helpdesk,GUEST\scottlawrence,2026-08-04 08:26:30
DESKTOP-64.SALINAS-FOSTER.COM,A member was added to a security-enabled global group,IT_Helpdesk,DEV\kedwards,2026-08-20 23:19:21
DESKTOP-79.JOHNSON.COM,Logon failure,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\pconway,2026-08-04 18:10:10
LAPTOP-43.KELLY.COM,A member was added to a security-enabled global group,Marketing_Share,DEV\andrew32,2026-08-02 12:46:47
LAPTOP-12.GEORGE-PACHECO.COM,A member was added to a security-enabled global group,Remote Desktop Users,CORP\samantha41,2026-08-16 05:51:45
EMAIL-05.DAVIDSON-LEE.ORG,A member was added to a security-enabled global group,Domain Admins,GUEST\jimenezjesse,2026-08-12 09:43:18
SRV-99.KELLY.COM,A member was added to a security-enabled local group,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\markanderson,2026-08-18 23:05:31
EMAIL-73.VILLARREAL-ROSS.NET,A member was removed from a security-enabled local group,Domain Admins,GUEST\zglover,2026-08-13 06:00:49
DESKTOP-39.RAYMOND.INFO,A member was added to a security-enabled local group,Marketing_Share,CORP\reillydennis,2026-08-05 03:03:29
DESKTOP-20.HARDY-MILLER.COM,User account locked out,Domain Admins,GUEST\SVC_fweiss,2026-08-16 19:53:27
SRV-95.HERNANDEZ.COM,Logon failure,All_Staff_Read_Only,CORP\kimberlythompson,2026-08-30 21:01:39
LT-11.TURNER.COM,Logon failure,Administrators,OLD_DOMAIN.LEGACY.COM\kevin14,2026-08-03 11:50:49
LAPTOP-06.SANTIAGO-RAMSEY.COM,User account locked out,All_Staff_Read_Only,GUEST\TEMP_rgamble,2026-08-21 07:51:47
SRV-12.JONES-REYNOLDS.BIZ,A member was added to a security-enabled global group,Marketing_Share,GUEST\morenocristina,2026-08-19 18:53:12
WEB-07.HAYES-BARNES.NET,A member was removed from a security-enabled local group,Administrators,GUEST\fli,2026-08-28 02:28:04
LAPTOP-09.HOWELL-ODONNELL.ORG,User account locked out,Domain Admins,DEV\tcook,2026-08-08 19:00:10
WEB-35.AGUILAR.COM,Logon failure,Marketing_Share,OLD_DOMAIN.LEGACY.COM\dmoore,2026-08-03 06:21:53
LT-38.BYRD.NET,A member was removed from a security-enabled local group,Marketing_Share,DEV\evelynbeck,2026-08-22 21:07:01
DESKTOP-32.JONES.COM,Logon failure,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\collinspatricia,2026-08-02 20:49:37
LT-96.ZIMMERMAN.COM,Logon failure,Administrators,DEV\wcrosby,2026-08-12 07:24:26
LAPTOP-91.GONZALEZ-MCBRIDE.COM,User account locked out,Administrators,DEV\christopher99,2026-08-22 00:21:41
LAPTOP-09.MARKS-LI.COM,A member was added to a security-enabled global group,Remote Desktop Users,GUEST\dennisschneider,2026-08-26 21:34:38
SRV-59.ANDERSEN.NET,Logon failure,All_Staff_Read_Only,CORP\tbarrett,2026-08-06 08:15:46
WEB-40.REED.COM,A member was added to a security-enabled global group,Domain Admins,OLD_DOMAIN.LEGACY.COM\jessica08,2026-08-29 05:21:06
SRV-70.HERNANDEZ.COM,Logon failure,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\peter16,2026-08-26 16:00:59
DESKTOP-10.FERNANDEZ.BIZ,Logon failure,Marketing_Share,CORP\SVC_bondelizabeth,2026-08-03 18:33:12
LT-43.WATERS.COM,Logon failure,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\clarence71,2026-08-15 03:04:48
SRV-80.YANG.INFO,A member was removed from a security-enabled local group,Administrators,CORP\sharonkemp,2026-08-10 03:53:27
LT-68.ACOSTA.COM,A member was added to a security-enabled local group,Administrators,GUEST\TEMP_mendezallison,2026-08-15 11:58:48
SRV-33.PEREZ.NET,User account locked out,All_Staff_Read_Only,CORP\sarroyo,2026-08-30 19:46:15
DB-71.DIXON-SMITH.COM,A member was added to a security-enabled global group,Domain Admins,GUEST\nicole96,2026-08-17 03:41:46
LT-05.RICHARDSON-SMITH.COM,A member was added to a security-enabled global group,IT_Helpdesk,CORP\jose06,2026-08-20 05:14:49
LT-87.GARCIA-MOSLEY.COM,A member was added to a security-enabled global group,Remote Desktop Users,GUEST\SVC_rebecca61,2026-08-07 23:57:55
DB-24.FLOWERS.COM,User account locked out,IT_Helpdesk,GUEST\schwartzstacey,2026-08-15 10:19:45
DESKTOP-26.HERNANDEZ-MARTINEZ.NET,Logon failure,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\khunt,2026-08-08 14:29:42
EMAIL-40.JAMES.BIZ,A member was removed from a security-enabled local group,All_Staff_Read_Only,DEV\amanda55,2026-08-14 12:14:34
DESKTOP-52.WHITE-MCKINNEY.COM,Logon failure,Marketing_Share,OLD_DOMAIN.LEGACY.COM\olivia32,2026-08-26 12:05:06
SRV-05.HAMMOND.COM,Logon failure,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\dhenry,2026-08-19 08:46:47
LAPTOP-59.HURLEY.COM,A member was added to a security-enabled local group,Domain Admins,DEV\guzmanwilliam,2026-08-14 03:00:04
WEB-41.FITZPATRICK.COM,Logon failure,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\susan85,2026-08-04 08:22:36
DB-47.CAMACHO.INFO,A member was added to a security-enabled global group,IT_Helpdesk,DEV\chaseadams,2026-08-26 14:56:18
LT-55.WOOD.COM,A member was added to a security-enabled local group,Domain Admins,CORP\april16,2026-08-08 17:05:42
DESKTOP-77.EATON.COM,A member was added to a security-enabled global group,Administrators,OLD_DOMAIN.LEGACY.COM\dana71,2026-08-20 14:53:50
LT-29.JAMES.COM,A member was added to a security-enabled global group,Administrators,CORP\hartdana,2026-08-31 12:42:36
EMAIL-04.BROWN-THOMPSON.COM,A member was added to a security-enabled local group,Remote Desktop Users,DEV\lmolina,2026-08-04 04:07:20
WEB-99.JENSEN.COM,A member was added to a security-enabled global group,Domain Admins,GUEST\brandon40,2026-08-29 16:10:12
LAPTOP-49.HARRIS-MARTINEZ.COM,A member was added to a security-enabled global group,Administrators,DEV\brenda73,2026-08-21 19:59:20
EMAIL-04.LEWIS.COM,User account locked out,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\lsoto,2026-08-29 00:40:12
LT-18.WAGNER.INFO,A member was added to a security-enabled local group,IT_Helpdesk,GUEST\hmcgee,2026-08-17 01:23:54
SRV-23.ROBBINS.COM,A member was added to a security-enabled global group,Domain Admins,CORP\jenniferpatel,2026-08-05 06:40:13
DB-38.JOHNSON.ORG,Logon failure,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\ronaldwhite,2026-08-28 21:05:12
LAPTOP-03.BROWN-BRADSHAW.NET,A member was removed from a security-enabled local group,Administrators,OLD_DOMAIN.LEGACY.COM\wyoung,2026-08-20 23:49:39
SRV-13.MILLER.COM,A member was added to a security-enabled local group,Domain Admins,DEV\lisamacias,2026-08-23 16:44:24
DESKTOP-00.JACKSON.COM,A member was added to a security-enabled global group,Remote Desktop Users,DEV\SVC_kathleen02,2026-08-14 11:35:03
DB-21.LEONARD.NET,User account locked out,All_Staff_Read_Only,CORP\kevin90,2026-08-20 16:43:42
DB-58.WILLIAMS-WILLIAMS.BIZ,A member was removed from a security-enabled local group,Remote Desktop Users,OLD_DOMAIN.LEGACY.COM\gzhang,2026-08-24 07:45:49
DESKTOP-70.BUTLER-VASQUEZ.COM,A member was removed from a security-enabled local group,All_Staff_Read_Only,CORP\SVC_jacquelinecole,2026-08-28 08:43:20
LAPTOP-92.ZUNIGA.COM,A member was added to a security-enabled local group,Remote Desktop Users,CORP\ggibbs,2026-08-06 10:52:26
LAPTOP-54.IBARRA-WAGNER.INFO,A member was added to a security-enabled local group,Marketing_Share,OLD_DOMAIN.LEGACY.COM\valerie25,2026-08-18 10:18:52
LAPTOP-02.COLEMAN-PETTY.COM,A member was added to a security-enabled global group,Domain Admins,CORP\fowlerrenee,2026-08-05 06:12:27
LT-94.HINES-GUZMAN.COM,A member was removed from a security-enabled local group,Remote Desktop Users,CORP\derekclark,2026-08-15 02:52:20
LAPTOP-98.ANDERSEN.INFO,Logon failure,All_Staff_Read_Only,GUEST\obuckley,2026-08-01 14:26:46
LAPTOP-26.JONES.COM,A member was added to a security-enabled local group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\suttonbrian,2026-08-22 02:02:51
DESKTOP-66.GRIFFIN.COM,A member was added to a security-enabled global group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\jacksonsydney,2026-08-27 11:55:16
SRV-91.HUGHES.COM,A member was added to a security-enabled global group,Administrators,OLD_DOMAIN.LEGACY.COM\melissa76,2026-08-30 03:44:53
SRV-21.MOORE.COM,Logon failure,Administrators,CORP\TEMP_ogonzalez,2026-08-06 06:52:39
LT-66.CLARK-RAMSEY.COM,A member was added to a security-enabled local group,Administrators,GUEST\cynthia98,2026-08-27 07:26:15
EMAIL-85.WASHINGTON-GORDON.NET,A member was added to a security-enabled local group,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\bethharris,2026-08-20 23:44:43
EMAIL-85.CLARKE.ORG,A member was removed from a security-enabled local group,Administrators,CORP\TEMP_michael93,2026-08-05 17:13:43
EMAIL-97.QUINN.NET,A member was added to a security-enabled local group,IT_Helpdesk,OLD_DOMAIN.LEGACY.COM\thompsonchristopher,2026-08-08 22:18:07
EMAIL-89.HARRISON.COM,User account locked out,IT_Helpdesk,CORP\burgessjared,2026-08-29 19:11:14
LAPTOP-23.SMITH-GRIFFIN.COM,A member was added to a security-enabled global group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\ericbarnett,2026-08-11 08:55:59
LAPTOP-27.GILBERT.COM,A member was removed from a security-enabled local group,Administrators,GUEST\gonzalesjose,2026-08-25 08:16:56
WEB-39.MILLER-SMITH.ORG,Logon failure,Remote Desktop Users,CORP\oruiz,2026-08-09 05:15:52
SRV-13.MARSHALL-BELL.COM,Logon failure,All_Staff_Read_Only,DEV\jobrien,2026-08-20 10:16:07
WEB-25.TERRY.COM,A member was added to a security-enabled local group,All_Staff_Read_Only,CORP\oadams,2026-08-31 07:43:19
LT-55.RODRIGUEZ.INFO,A member was added to a security-enabled local group,IT_Helpdesk,CORP\dennisrebecca,2026-08-22 08:51:06
DB-41.LOPEZ.COM,A member was added to a security-enabled global group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\santostony,2026-08-13 13:16:29
LT-59.WOODS-RAMIREZ.COM,A member was added to a security-enabled local group,All_Staff_Read_Only,OLD_DOMAIN.LEGACY.COM\SVC_grantashley,2026-08-25 04:24:27
LAPTOP-89.COLEMAN.COM,A member was added to a security-enabled local group,Domain Admins,CORP\ashleymorris,2026-08-17 04:21:05
DB-07.GONZALES-COPELAND.ORG,A member was added to a security-enabled local group,Administrators,CORP\ericbryant,2026-08-07 07:25:50
WEB-41.EDWARDS-JOHNSON.COM,User account locked out,Marketing_Share,GUEST\maria23,2026-08-19 04:57:06
LT-60.BELL.COM,A member was added to a security-enabled local group,Domain Admins,DEV\bthomas,2026-08-06 13:52:09
EMAIL-65.PETERSON.ORG,A member was added to a security-enabled local group,Marketing_Share,CORP\steven12,2026-08-02 00:49:14
DESKTOP-04.SANDERS.NET,A member was removed from a security-enabled local group,Remote Desktop Users,DEV\mcguirescott,2026-08-18 08:03:30
LAPTOP-55.WALKER-PHILLIPS.COM,A member was added to a security-enabled local group,IT_Helpdesk,DEV\mark25,2026-08-12 01:21:17
WEB-11.FARMER.COM,A member was removed from a security-enabled local group,Domain Admins,OLD_DOMAIN.LEGACY.COM\SVC_kimberlydiaz,2026-08-15 13:46:45
LAPTOP-58.BISHOP.INFO,A member was added to a security-enabled global group,Remote Desktop Users,DEV\freemanlisa,2026-08-13 15:36:11
EMAIL-43.WOODS.COM,User account locked out,Domain Admins,DEV\tyronelambert,2026-08-31 00:26:03
LT-62.REYNOLDS-WILLIAMS.ORG,A member was removed from a security-enabled local group,Administrators,CORP\sdiaz,2026-08-08 20:32:21
LT-47.GRIFFIN.NET,A member was removed from a security-enabled local group,Marketing_Share,DEV\hoffmansherry,2026-08-22 04:27:03
LT-35.GALLOWAY-COLE.ORG,A member was added to a security-enabled global group,Marketing_Share,OLD_DOMAIN.LEGACY.COM\pevans,2026-08-07 23:47:37
DESKTOP-39.LEWIS-MARTIN.ORG,A member was removed from a security-enabled local group,Marketing_Share,CORP\iturner,2026-08-11 00:54:45
LT-05.SMITH.INFO,User account locked out,IT_Helpdesk,GUEST\scottlawrence,2026-08-04 08:26:30
DESKTOP-20.CUMMINGS.ORG,A member was added to a security-enabled global group,IT_Helpdesk,CORP\TEMP_adavenport,2026-08-01 15:47:56
EMAIL-58.KRAUSE.COM,A member was added to a security-enabled global group,Remote Desktop Users,CORP\igonzalez,2026-08-12 05:25:43
EMAIL-79.TAYLOR.INFO,Logon failure,Marketing_Share,CORP\swansondebra,2026-08-31 05:31:02
SRV-08.ALVAREZ.BIZ,User account locked out,Domain Admins,GUEST\troygomez,2026-08-31 05:46:41
DB-64.TAPIA-LEE.COM,A member was added to a security-enabled local group,All_Staff_Read_Only,DEV\sarahjohnson,2026-08-18 10:29:43
LT-27.RICHARDSON.BIZ,Logon failure,All_Staff_Read_Only,GUEST\betty97,2026-08-08 19:39:14
